,month,location,population,iso_code,continent,total_tests_per_thousand,total_cases,total_cases_per_million,total_deaths,new_deaths_per_million,total_deaths_per_million,new_vaccinations,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,new_people_vaccinated_smoothed,total_tests,total_vaccinations,total_vaccinations_per_hundred,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_boosters,total_boosters_per_hundred,new_cases,new_deaths,new_tests,new_tests_per_thousand,hosp_patients,icu_patients,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,tests_units,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,hosp_patients_per_million,icu_patients_per_million,weekly_hosp_admissions_per_million,weekly_hosp_admissions,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality,excess_mortality_cumulative_per_million,weekly_icu_admissions_per_million,weekly_icu_admissions,life_expectancy,handwashing_facilities,population_density,diabetes_prevalence,gdp_per_capita,median_age,aged_65_older,aged_70_older,cardiovasc_death_rate,human_development_index,stringency_index,reproduction_rate,hospital_beds_per_thousand,female_smokers,male_smokers,extreme_poverty
0,1,Iran,85028760.0,IRN,Asia,4975.517,63306383.0,744529.0609999999,2083272.0,113.31800000000001,24500.791000000005,2315421.0,496349.0,5826.0,0.46300000000000036,377774.0,423062118.0,13939263.0,16.359999999999992,11609841.0,13.769999999999998,6450107.0,7.690000000000006,3505418.0,4.339999999999998,556926.0,9635.0,2821549.2694617016,32.90848504423613,1867.354528453113,15425.573735769125,8891.429,6549.851000000001,507549.1439999999,5969.145,104.57000000000001,,2794813.7200986436,32.1527225647349,10.971628571428568,369.13399014778327,3204.5674143734973,912.289356102727,8768.46976489277,21863.100873709293,1004.6614285714287,4099081.9714285713,1681.0771428571431,48208.18239952573,389.21748219391736,1932.3145308032235,4754.159999999999,50.79087199051068,49.83100000000001,9.589999999999995,19082.62000000001,32.400000000000034,5.439999999999999,3.181999999999997,270.30800000000045,0.7830000000000008,69.30951612903222,1.1814516129032255,1.5,0.7999999999999993,21.099999999999994,0.19999999999999982
1,2,Iran,85028760.0,IRN,Asia,6331.463999999999,83525368.0,982319.015,2476878.0,149.76400000000004,29129.88799999999,19236732.0,2030861.0,23875.0,2.1260000000000003,1794185.0,538356340.0,52926738.0,62.230000000000004,44426054.0,52.28999999999998,11622105.0,13.680000000000007,3505418.0,4.339999999999998,573693.0,12734.0,4122495.681818182,48.48713636363633,1848.8688218006946,15154.091871855966,13219.142,6747.044999999999,605661.288,7123.017,155.46799999999996,,4373639.0,51.435,7.916799999999999,513.7,3131.234616083355,910.686671697114,8705.705295207837,22072.75509663755,1125.86,4779111.828571426,2066.135714285714,56205.82763038572,393.9472908760073,1955.7962048349364,4754.159999999999,50.79087199051068,49.83100000000001,9.589999999999995,19082.62000000001,32.400000000000034,5.439999999999999,3.181999999999997,270.30800000000045,0.7830000000000008,64.96258064516127,0.9559677419354838,1.5,0.7999999999999993,21.099999999999994,0.19999999999999982
2,3,Iran,85028760.0,IRN,Asia,7992.708999999999,97098755.0,1141951.911,2764726.0,85.03700000000003,32515.189000000002,27407937.0,2525576.0,29692.0,2.3510000000000004,1990683.0,679609854.0,141267306.0,166.19000000000003,118952321.0,139.98999999999998,25436406.0,29.920000000000005,3505418.0,4.339999999999998,365373.0,7231.0,4455587.499999999,52.39575,1830.3831151482768,14882.610007942809,7429.715,4297.05,374469.85699999996,4404.035999999999,87.37799999999997,,4542917.0,53.42599999999999,6.079200000000002,672.2000000000003,3057.901817793214,909.0839872915012,8642.940825522901,22282.409319565795,1157.8914285714286,5325224.428571428,1664.8857142857146,62628.508623271424,398.6770995580972,1979.2778788666492,4754.159999999999,50.79087199051068,49.83100000000001,9.589999999999995,19082.62000000001,32.400000000000034,5.439999999999999,3.181999999999997,270.30800000000045,0.7830000000000008,59.86290322580645,0.9970967741935484,1.5,0.7999999999999993,21.099999999999994,0.19999999999999982
3,4,Iran,85028760.0,IRN,Asia,9514.476999999995,110744780.0,1302439.0819999997,3015183.0,118.65200000000003,35460.74399999999,27407937.0,3369433.0,39615.0,2.337,1977147.0,809003713.0,216603536.0,254.70000000000013,152503724.0,179.29000000000002,67221233.0,79.13,3505418.0,4.339999999999998,594463.0,10089.0,3397639.838709677,39.950137096774185,1811.8974084958593,14611.12814402965,9501.003,6991.315999999999,550033.7149999999,6468.788999999999,111.74199999999999,,3724340.0,43.798,8.477900000000004,547.6999999999998,2984.5690195030716,907.4813028858882,8580.176355837968,22492.063542494045,1245.9171428571435,5865026.57142857,1827.8328571428576,68976.97404777144,403.40690824018714,2002.759552898362,4754.159999999999,50.79087199051068,49.83100000000001,9.589999999999995,19082.62000000001,32.400000000000034,5.439999999999999,3.181999999999997,270.30800000000045,0.7830000000000008,58.53096774193545,1.0909677419354842,1.5,0.7999999999999993,21.099999999999994,0.19999999999999982
4,5,Iran,85028760.0,IRN,Asia,10643.952,138256546.0,1625997.441,3472214.0,231.885,40835.761000000006,27407937.0,13033963.0,153279.0,12.096000000000002,10273866.0,905041775.0,518981367.0,610.3799999999999,400226120.0,470.6900000000003,121876668.0,143.34000000000003,3505418.0,4.339999999999998,1129211.0,19717.0,3394901.9112903224,39.926362903225815,1793.4117018434415,14339.646280116493,18797.147,13280.343999999997,1104836.574,12993.681,221.06900000000002,,3250257.0,38.228,16.131199999999996,395.80000000000007,2911.2362212129306,905.8786184802755,8517.411886153031,22701.717765422298,1402.207142857143,6736802.842857143,3456.381428571429,79229.69642722857,408.13671692227706,2026.2412269300753,4754.159999999999,50.79087199051068,49.83100000000001,9.589999999999995,19082.62000000001,32.400000000000034,5.439999999999999,3.181999999999997,270.30800000000045,0.7830000000000008,64.72870967741935,1.0564516129032262,1.5,0.7999999999999993,21.099999999999994,0.19999999999999982
5,6,Iran,85028760.0,IRN,Asia,12063.461,171811588.0,2020629.1119999997,4143782.0,238.21500000000006,48733.88399999999,32572719.0,21745513.0,255733.0,15.220999999999998,12930489.0,1025741167.0,1061877096.0,1248.91,717819343.0,844.2500000000002,346150237.0,407.17999999999995,3505418.0,4.339999999999998,870832.0,20255.0,4265221.75,50.16024999999999,1774.925995191023,14068.16441620333,20919.141,10241.614000000001,914746.9980000001,10758.092,246.029,,4207928.0,49.48799999999998,10.380300000000002,492.1000000000002,2837.903422922789,904.2759340746626,8454.647416468095,22911.37198835054,1592.9028571428576,8158187.585714287,4633.078571428572,95946.21379877142,412.866525604367,2049.7229009617886,4754.159999999999,50.79087199051068,49.83100000000001,9.589999999999995,19082.62000000001,32.400000000000034,5.439999999999999,3.181999999999997,270.30800000000045,0.7830000000000008,64.67548387096771,0.9495161290322576,1.5,0.7999999999999993,21.099999999999994,0.19999999999999982
6,7,Iran,85028760.0,IRN,Asia,13135.523000000001,184752391.0,2172822.3619999997,4490394.0,160.005,52810.295000000006,5241570.0,32567191.0,383006.0,24.054000000000006,20438580.0,1116897499.0,1961990761.0,2307.4100000000008,1335180038.0,1570.2899999999995,629774914.0,740.7600000000002,3392340.0,4.1999999999999975,487165.0,13605.0,4458750.1,52.43329999999999,1700.0694629975953,13355.865766481329,13732.287,5729.414999999999,497188.42599999986,5847.296,161.50300000000001,,4040342.0,47.516999999999996,7.808700000000002,471.3,2676.5355597114612,873.5797736298649,8122.156719618745,22371.914217633046,1645.295714285714,8909538.899999999,2735.278571428572,104782.65118555713,404.0516584351442,2005.960488692488,4600.799999999998,50.79087199051068,49.83100000000001,9.589999999999995,19082.620000000006,32.400000000000034,5.439999999999999,3.181999999999997,270.3080000000004,0.7830000000000008,67.43199999999999,0.9991666666666663,1.5,0.7999999999999993,21.099999999999998,0.19999999999999982
7,8,Iran,85028760.0,IRN,Asia,14608.791000000003,199408398.0,2345187.6499999994,4936276.0,194.97200000000004,58054.189999999995,5241570.0,25508375.0,299989.0,8.350999999999999,7087855.0,1242167139.0,2812144478.0,3307.3200000000006,1635581682.0,1923.5600000000004,1169416487.0,1375.3399999999995,11863209.0,14.080000000000004,515940.0,16578.0,4977958.199999999,58.5472,1682.7571466737916,13101.616362192211,16233.57,6067.8290000000015,511114.572,6011.085000000001,190.918,,4291678.0,50.47399999999999,9.455399999999997,523.7,2607.857600854929,872.0788204924544,8063.376258935662,22568.260524225574,1773.8085714285708,9863818.12857143,3194.44,116005.66829968573,408.481239927216,2027.9516506368602,4600.799999999998,50.79087199051068,49.83100000000001,9.589999999999995,19082.620000000006,32.400000000000034,5.439999999999999,3.181999999999997,270.3080000000004,0.7830000000000008,69.8458333333333,1.0473333333333334,1.5,0.7999999999999993,21.099999999999998,0.19999999999999982
8,9,Iran,85028760.0,IRN,Asia,16184.277999999998,214689319.0,2524902.3880000003,5400007.0,140.42100000000005,63508.005999999994,7997062.0,12152583.0,142916.0,3.4,2875809.0,1376129057.0,3278914797.0,3856.2799999999984,1750909747.0,2059.19,1463388685.0,1721.0800000000002,93989030.0,110.67999999999999,428351.0,11940.0,4627028.7,54.41550000000002,1665.444830349987,12847.366957903094,13009.002,5037.721000000002,455852.14400000015,5361.153000000002,152.994,,4520663.0,53.16600000000002,9.162500000000005,1086.4999999999998,2539.179641998396,870.5778673550436,8004.5957982525815,22764.60683081811,1881.0514285714282,10741421.742857145,1843.0414285714282,126326.92447242858,412.91082141928774,2049.942812581232,4600.799999999998,50.79087199051068,49.83100000000001,9.589999999999995,19082.620000000006,32.400000000000034,5.439999999999999,3.181999999999997,270.3080000000004,0.7830000000000008,66.9005000000001,0.8523333333333333,1.5,0.7999999999999993,21.099999999999998,0.19999999999999982
9,10,Iran,85028760.0,IRN,Asia,17780.198999999997,223687356.0,2630725.835999999,5619939.0,50.956999999999994,66094.564,9512139.0,13780288.0,162058.0,1.663,1404004.0,1511828416.0,3653343171.0,4296.5999999999985,1799889035.0,2116.7700000000004,1574004837.0,1851.1699999999998,361849314.0,425.59000000000003,244535.0,4333.0,4374323.333333333,51.44000000000001,1648.132514026182,12593.117553613973,4709.001,2875.913000000002,242294.1449999999,2849.5570000000002,55.380999999999986,,4428291.0,52.07899999999999,4.099800000000001,1837.1999999999998,2470.5016831418643,869.0769142176331,7945.815337569499,22960.953137410645,1818.1714285714281,10983083.628571434,213.62857142857123,129169.04384842857,417.34040291135943,2071.9339745256043,4600.799999999998,50.79087199051068,49.83100000000001,9.589999999999995,19082.620000000006,32.400000000000034,5.439999999999999,3.181999999999997,270.3080000000004,0.7830000000000008,63.411999999999985,0.9851666666666667,1.5,0.7999999999999993,21.099999999999998,0.19999999999999982
10,11,Iran,85028760.0,IRN,Asia,19347.285999999993,239865418.0,2820991.6029999997,5736325.0,58.084,67463.351,12027819.0,12073588.0,141985.0,1.8030000000000002,1524538.0,1645075272.0,4023901016.0,4732.41,1833183625.0,2155.93,1633666501.0,1921.3300000000002,561925020.0,660.9599999999999,896928.0,4939.0,4497852.76564797,52.81972598469733,1663.1317125300566,12619.872650251518,4474.3255714285715,10548.525,850041.3647142858,9998.37712598425,52.65297637795276,,4460237.558569667,52.320522811344034,10.747821428571429,472.30652709359595,2462.209503606732,882.4804262642309,8035.907333598094,23485.059571088168,1713.4609340065474,11023955.178983694,262.78057686368965,129647.8067655504,427.48660540681055,2122.3059526904085,4677.479999999999,50.79087199051068,49.83100000000001,9.589999999999995,19082.62000000001,32.400000000000034,5.439999999999999,3.181999999999997,270.30800000000045,0.7830000000000008,70.02131147540982,1.2907036267904666,1.5,0.7999999999999993,21.099999999999994,0.19999999999999982
11,12,Iran,85028760.0,IRN,Asia,9042.314,127652495.0,1501286.0929999999,3322549.0,73.04499999999999,39075.58700000001,4950146.0,3042310.0,35777.0,1.3860000000000001,1176561.0,768800847.0,1552678410.0,1826.18,692839573.0,814.9399999999999,614702641.0,723.0400000000001,254454827.0,299.47,403558.0,6211.0,3190360.8339551594,36.13215742626314,2069.860539674059,16851.395419645214,5701.811428571428,4746.136999999999,427143.06028571416,5026.695814960632,67.13194094488189,,3310660.029127795,36.063247888700175,11.58910634920635,443.3468253968253,3465.5567608869883,1026.6711619009795,9769.359939899392,25120.144029653162,1041.6651510098204,6266200.582959669,897.3473732320427,73681.8451613021,449.2752245905901,2230.478034832337,5367.600000000001,50.7908719905107,49.831000000000024,9.59,19082.62000000002,32.40000000000004,5.439999999999999,3.1819999999999955,270.3080000000005,0.7830000000000008,57.27078799362824,1.4467447653771865,1.5,0.7999999999999989,21.099999999999984,0.19999999999999973
